iter	RMSE
0	3.314020115
1	3.241038189
2	3.179042146
3	3.107292665
4	3.048439657
5	2.982303428
6	2.928885412
7	2.868968669
8	2.812347388
9	2.753729732
10	2.707301274
11	2.65360708
12	2.61406787
13	2.578586182
14	2.539159492
15	2.498320815
16	2.455933007
17	2.415086918
18	2.376309457
19	2.328137589
20	2.284976293
21	2.258151689
22	2.226131707
23	2.194712475
24	2.156256239
25	2.130101125
26	2.098974005
27	2.072773581
28	2.048468193
29	2.01626071
30	1.988977077
31	1.972693947
32	1.946590265
33	1.935168326
34	1.919052524
35	1.901871123
36	1.877849132
37	1.859303672
38	1.839281696
39	1.82268984
40	1.795867699
41	1.782651601
42	1.76228172
43	1.740526298
44	1.727888082
45	1.706788421
46	1.687444119
47	1.673719407
48	1.657249104
49	1.64356357
50	1.634083587
51	1.620433308
52	1.60428244
53	1.58891527
54	1.581065013
55	1.569062003
56	1.554803405
57	1.543912636
58	1.533422733
59	1.523142615
60	1.515982387
61	1.505371576
62	1.493524133
63	1.484011437
64	1.470994107
65	1.464907522
66	1.452920825
67	1.448079219
68	1.434959985
69	1.424693248
70	1.414648044
71	1.40995039
72	1.403900962
73	1.392481359
74	1.377021786
75	1.369528172
76	1.359587778
77	1.358027019
78	1.351753407
79	1.343940613
80	1.331076426
81	1.322331891
82	1.316924579
83	1.31242112
84	1.307678761
85	1.300230571
86	1.289050372
87	1.283983718
88	1.274296087
89	1.267015738
90	1.264775318
91	1.257801165
92	1.25203297
93	1.246781568
94	1.24328196
95	1.237091329
96	1.22724482
97	1.224164982
98	1.219650003
99	1.2139409
100	1.207288681
101	1.20606212
102	1.201152944
103	1.198557688
104	1.19602159
105	1.188692961
106	1.183274098
107	1.177277784
108	1.175793668
109	1.166866307
110	1.162856284
111	1.156956658
112	1.150278021
113	1.148142233
114	1.143806829
115	1.141928961
116	1.140890952
117	1.138637687
118	1.132313806
119	1.125778793
120	1.122854588
121	1.118879706
122	1.110291871
123	1.108437485
124	1.104008813
125	1.099426275
126	1.098747544
127	1.097878697
128	1.09065279
129	1.08933277
130	1.086651717
131	1.084064724
132	1.08045892
133	1.075890374
134	1.072431315
135	1.061370621
136	1.058872506
137	1.052251962
138	1.049666844
139	1.047207532
140	1.042091387
141	1.038495401
142	1.037265579
143	1.034603194
144	1.029744119
145	1.026754992
146	1.023106662
147	1.019763217
148	1.017846021
149	1.012974156
150	1.007453221
151	1.006618264
152	1.001369616
153	0.9974294653
154	0.9908216705
155	0.9896835048
156	0.9839979388
157	0.9804454412
158	0.9793360379
159	0.9765241832
160	0.9691311977
161	0.9682939471
162	0.9669116698
163	0.9661589851
164	0.9597820918
165	0.9541994778
166	0.9531464786
167	0.9524894242
168	0.9515756777
169	0.9449157301
170	0.9399894179
171	0.9391844252
172	0.9356520322
173	0.934909793
174	0.9342297858
175	0.925609986
176	0.9217747702
177	0.921085828
178	0.9169791353
179	0.9102869636
180	0.9095493211
181	0.9043300495
182	0.8955618498
183	0.8929976037
184	0.8848719753
185	0.87980862
186	0.8717818038
187	0.8675898413
188	0.8628019915
189	0.8621987921
190	0.8555720399
191	0.8506415014
192	0.8469752473
193	0.8408688554
194	0.8399246828
195	0.8352317695
196	0.8314321976
197	0.8258053123
198	0.8209181683
199	0.8196694205
200	0.8143402551
201	0.8098807944
202	0.80474658
203	0.8014915541
204	0.7973410578
205	0.7933094025
206	0.7895324493
207	0.7865113867
208	0.7855591499
209	0.7821309789
210	0.7816397531
211	0.778654858
212	0.7777682917
213	0.7769137198
214	0.7762521633
215	0.7716622599
216	0.7711164432
217	0.7674376298
218	0.765106416
219	0.7646868069
220	0.7614725696
221	0.7578617615
222	0.7550788331
223	0.7523101762
224	0.748272701
225	0.7477875528
226	0.7469662423
227	0.7432633085
228	0.7406198523
229	0.735529236
230	0.7306835205
231	0.7288318181
232	0.7258718056
233	0.7225195361
234	0.7190484964
235	0.715245661
236	0.7130266827
237	0.7101755763
238	0.7097102419
239	0.706260299
