iter	RMSE
240	0.7041269116
241	0.7019621557
242	0.7016251955
243	0.7013077151
244	0.7008747465
245	0.6974042839
246	0.6942052348
247	0.6934905441
248	0.6895717168
249	0.6892104341
250	0.6863010042
251	0.6838188523
252	0.6812989626
253	0.6779818736
254	0.6769073066
255	0.674570799
256	0.6720649434
257	0.6696591324
258	0.6665379514
259	0.6662802404
260	0.6640613638
261	0.6636826531
262	0.6610448327
263	0.6582979059
264	0.6553599871
265	0.6544430643
266	0.6541095057
267	0.6538704891
268	0.6534212146
269	0.6503259425
270	0.6482416627
271	0.6466366187
272	0.6441013772
273	0.6418870969
274	0.638817395
275	0.6369073412
276	0.6351800168
277	0.6344272109
278	0.6340856066
279	0.6319533246
280	0.6306387038
281	0.6283716977
282	0.6259073127
283	0.6237227888
284	0.6208047672
285	0.6203116466
286	0.6184868949
287	0.6165454525
288	0.613803434
289	0.6121299792
290	0.6109685407
291	0.6092817777
292	0.6079117273
293	0.6051005592
294	0.6032646108
295	0.6008146864
296	0.5998008606
297	0.5991853824
298	0.5970609888
299	0.5964075273
300	0.5943508007
301	0.5919603501
302	0.5897992797
303	0.5873719752
304	0.5847345782
305	0.5841989206
306	0.5827684789
307	0.5804803284
308	0.579877332
309	0.5782030495
310	0.577749355
311	0.5770702169
312	0.5756477622
313	0.5736677841
314	0.5731937301
315	0.5713413246
316	0.5704824105
317	0.5694252056
318	0.5687430038
319	0.5678030537
320	0.5667326933
321	0.5664517986
322	0.5658678195
323	0.5641923042
324	0.5637175074
325	0.5632608778
326	0.5627440872
327	0.5623505356
328	0.5617982919
329	0.5601222959
330	0.5592234254
331	0.5573716952
332	0.5570271842
333	0.5565533641
334	0.5560944249
335	0.5541490163
336	0.553178537
337	0.5505161324
338	0.5483595688
339	0.5462802985
340	0.5440355902
341	0.543655519
342	0.5432458296
343	0.5428343211
344	0.5425063461
345	0.5414117243
346	0.5411194168
347	0.5406251665
348	0.5393981956
349	0.5382465055
350	0.5377788565
351	0.535742496
352	0.5352540088
353	0.5332851539
354	0.5329732685
355	0.5312795902
356	0.5308463222
357	0.5301642545
358	0.529534375
359	0.5279182924
360	0.527645037
361	0.527279985
362	0.5269898862
363	0.5254571041
364	0.5246000691
365	0.524331674
366	0.5228383216
367	0.5213831533
368	0.521084697
369	0.5193085588
370	0.5176430487
371	0.5155388947
372	0.5152343971
373	0.5132553905
374	0.5121789339
375	0.5118081739
376	0.5113875141
377	0.510987914
378	0.5095404696
379	0.5089875485
380	0.5087194841
381	0.5085643403
382	0.5076593865
383	0.5061409006
384	0.5058554478
385	0.5044347821
386	0.5041418049
387	0.5029177371
388	0.500985632
389	0.5007044547
390	0.4985535964
391	0.4974611104
392	0.4953236351
393	0.494227052
394	0.492890937
395	0.4918628297
396	0.4915584492
397	0.4913452061
398	0.4906727482
399	0.4895120172
400	0.4882347267
401	0.4873102267
402	0.4856355568
403	0.4839839725
404	0.4838100356
405	0.4836292075
406	0.483400405
407	0.4831794905
408	0.4827337078
409	0.4816261091
410	0.4813405656
411	0.4811379361
412	0.4797763394
413	0.4796038368
414	0.4793596465
415	0.4791830829
416	0.4777885362
417	0.4765804766
418	0.4749886073
419	0.4744875031
420	0.4738612086
421	0.4728702033
422	0.4718432255
423	0.4697985006
424	0.4694860051
425	0.469184012
426	0.4678298995
427	0.4676397764
428	0.466565285
429	0.4656500527
430	0.465446829
431	0.464168308
432	0.4635780117
433	0.4625565068
434	0.461193725
435	0.4609852398
436	0.4595600965
437	0.4586462603
438	0.4584693856
439	0.4576921652
440	0.4564410161
441	0.4562619086
442	0.455226633
443	0.4543041542
444	0.4537073607
445	0.4526667966
446	0.4512791755
447	0.4498584999
448	0.4496716823
449	0.4484655554
450	0.4475778588
451	0.4464441756
452	0.4463187834
453	0.4452960103
454	0.4442399853
455	0.4440683122
456	0.4434491377
457	0.4418606165
458	0.4406009833
459	0.4399245164
460	0.4395226732
461	0.4393448128
462	0.4385678721
463	0.4375137282
464	0.4369051332
465	0.4367296505
466	0.4361362162
467	0.4349676458
468	0.4336476612
469	0.4335583399
470	0.4333913894
471	0.4332268709
472	0.4321078247
473	0.4310117035
474	0.4308900704
475	0.4296401924
476	0.4285035538
477	0.4276329856
478	0.4265015317
479	0.4255423069
480	0.4254308314
481	0.4245199862
482	0.4234380702
483	0.4232941987
484	0.4227122287
485	0.4217110604
486	0.4206454235
487	0.419572315
488	0.4183294978
489	0.4173648422
490	0.4172088165
491	0.4161779903
492	0.4157479471
493	0.4150621665
494	0.4140699142
495	0.4134291184
496	0.4133513186
497	0.4127137986
498	0.4113357538
499	0.4102670438
